ID,Direction,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208,Fe 238.204,Fe 259.941,Fe,Al 167.078,MPI
BL-E A-3,East,-5.047847222,119.3309028,A,Sediment,1.906,7.314,1.047,9.848,10.034,70.848,0.153,18.762,11336,11484.5,17078.25,NA,11.9606351797311
BL-E B-3,East,-5.047861111,119.3309722,B,Sediment,1.35,5.425,0.657,9.014,10.367,57.769,0.183,37.294,4373,4332,6539,NA,10.1655183978467
BL-E B-1 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.204,0.5,0.344,3.297,4.129,35.174,0.053,1.555,290,285,432.5,85,2.95580344116836
BL-E B-2 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.15,0.658,0.447,3.851,5.67,33.508,0.052,1.591,288,285,430.5,77,3.12396900596717
BL-E B-3 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.165,0.482,0.335,2.754,3.79,32.051,0.039,1.752,312,307,465.5,96,2.77639347251702
BL-E B-4 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.178,0.467,0.566,3.839,5.353,45.503,0.07,1.888,241,241,361.5,65.89,3.26695877255707
BL-E B-5 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.13,0.35,0.65,3.726,5.145,37.332,0.054,1.396,198,202,299,44.44,2.70792022339638
BL-E B-6 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.218,0.392,0.457,2.738,5.895,31.303,0.045,1.061,206,206,309,34,2.50930081076876
BL-E C-1,East,-5.047875,119.3310417,C,Sediment,1.881,5.704,0.549,7.748,11.026,38.623,0.096,7.765,1857,1860.5,2787.25,NA,7.00053821868379
BL-E C-2,East,-5.047875,119.3310417,C,Sediment,1.706,4.268,0.426,6.644,4.509,36.176,0.082,4.819,3894,3867,5827.5,NA,5.82668893709581
BL-E C-3,East,-5.047875,119.3310417,C,Sediment,2.195,4.878,0.507,8.091,4.736,30.039,0.108,4.612,2578,2541,3848.5,NA,6.1162830670266
BL-E C-1 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,0.213,0.408,0.144,2.108,2.922,25.741,0.37,3.012,104,104,156,32.17,2.53817220669921
BL-E C-2 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,0.105,0.562,0.153,2.012,3.373,20.575,0.046,0.47,115,114,172,29,1.63432466148502
BL-E C-3 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,0.105,0.37,0.18,2.767,4.257,28.135,0.076,0.5,117,110,172,46.41,1.92617032126973
BL-E C-4 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,0.109,0.55,0.145,1.836,2.948,17.009,0.061,0.435,123,121,183.5,45,1.67644913132043
BL-E C-6 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,0.161,0.276,0.293,2.645,3.921,23.939,0.074,0.585,92,96,140,19.84,1.81534360282266
BL-E 1-1,East,-5.047888889,119.3311111,D,Sediment,2.105,4.535,0.388,9.493,2.59,12.257,0.088,2.224,815,824,1227,NA,4.00990891122984
BL-E 1-2,East,-5.047888889,119.3311111,D,Sediment,2.037,3.888,0.338,8.56,2.337,11.416,0.077,2.739,768,772,1154,NA,3.75603722395361
BL-E 1-3,East,-5.047888889,119.3311111,D,Sediment,2.18,4.686,0.422,7.419,5.012,13.433,0.11,4.45,1988,1998,2987,NA,5.27241812054442
BL-S A-1,South,-5.051458333,119.3283333,A,Sediment,2.174,6.634,0.507,10.011,5.718,56.331,0.117,9.138,1717,1717,2575.5,NA,7.37981752101411
BL-S A-2,South,-5.051458333,119.3283333,A,Sediment,2.235,6.751,0.446,9.314,9.684,47.772,0.122,8.121,1440,1447,2163.5,NA,7.34414497644468
BL-S A-3,South,-5.051458333,119.3283333,A,Sediment,2.149,6.499,0.587,9.156,9.211,54.692,0.128,8.517,3639,3652,5465,NA,8.47388741878959
BL-S B-1,South,-5.051527778,119.3282639,B,Sediment,2.866,8.375,0.465,9.249,17.025,42.388,0.13,10.884,1479,1481.5,2219.75,NA,8.50958348510592
BL-S B-2,South,-5.051527778,119.3282639,B,Sediment,2.146,5.641,0.293,7.586,0.704,3.522,0.079,1.732,1429,1449,2153.5,NA,2.99958314550536
BL-S B-3,South,-5.051527778,119.3282639,B,Sediment,2.709,8.233,0.426,8.291,15.861,38.214,0.111,11.685,1573.5,1600.5,2373.8,NA,8.08128409844344
BL-S B-1 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.121,0.841,0.454,2.008,8.184,55.976,0.075,3.92,376,370,561,148,3.99571065386931
BL-S B-2 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.185,1,0.507,1.524,10.37,72.023,0.073,4.634,342,349,516.5,141,4.38528975789028
BL-S B-3 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.187,0.734,0.571,2.029,8.417,63.502,0.111,3.641,284,287,427.5,122.44,4.22163192115881
BL-S B-4 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.259,0.996,0.524,1.101,12.377,65.206,0.1,4.326,308.2475101,311.3661652,463.9305927,158.9627555,4.55346032482479
BL-S B-5 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.229,1.059,0.585,2.029,10.325,67.988,0.087,5.587,479,480,719,221.51,5.24120544232209
BL-S B-6 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.288,4.806,0.878,3.294,12.663,78.821,0.564,9.505,420,422,631,154.29,8.54903563929775
BL-S B-1 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.169,0.857,0.553,3.992,10.796,49.437,0.37,6.277,297,301,447.5,136.94,5.47693439841056
BL-S B-2 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.208,0.846,0.607,3.368,12.943,50.593,0.077,3.658,233,236,351,106,4.35759361943616
BL-S B-3 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.169,0.718,0.515,3.077,9.832,40.101,0.324,5.012,235,234,352,110.88,4.65767831016386
BL-S B-4 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.161,1.016,0.441,3.869,4.738,42.316,0.488,4.102,269,273,405.5,156.4,4.8433958501515
BL-S B-5 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.162,0.585,0.404,2.936,8.74,43.969,0.281,4.641,240,242,361,106.34,4.3003005177544
BL-S B-6 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.049,0.595,0.532,3.202,9.178,45.056,0.055,3.447,267,269,401.5,110,3.33843473194165
BL-S C-1,South,-5.051597222,119.3281944,C,Sediment,3.225,8.026,0.415,9.707,4.316,10.506,0.1,3.131,1084,1063,1615.5,NA,5.11377018813636
BL-S C-2,South,-5.051597222,119.3281944,C,Sediment,2.686,7.014,0.347,9.387,4.035,11.65,0.115,4.981,1222.5,1217.5,1831.3,NA,5.24922882737321
BL-S C-3,South,-5.051597222,119.3281944,C,Sediment,1.893,5.616,0.319,6.479,4.359,10.838,0.098,4.129,1053.5,1039,1573,NA,4.43269661507675
BL-S C-1 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.244,1.489,0.599,1.754,7.85,42.083,0.136,1.764,189,194,286,94,3.89964313888237
BL-S C-2 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.181,0.72,0.26,1.326,4.101,31.168,0.057,1.462,245,242,366,171,2.80312591954079
BL-S C-3 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.18,0.956,0.504,1.435,6.168,57.216,0.097,1.596,190,192,286,112,3.41826979127478
BL-S C-4 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.188,0.836,0.445,2.016,6.118,70.556,0.434,4.581,258,257,386.5,181.24,4.92970766712408
BL-S C-5 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.171,0.883,0.43,1.482,7.29,107.356,0.119,1.628,179,187,272.5,113,3.67491555105967
BL-S C-6 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.23,0.679,0.349,1.077,6.937,62.949,0.177,1.429,176,185,268.5,120,3.40402726656282
BL-S C-1 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.149,0.616,0.455,2.761,7.099,38.142,0.053,1.803,160,162,241,61,2.91210070562658
BL-S C-2 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.128,0.508,0.377,2.799,6.216,33.213,0.065,1.463,150,151,225.5,58.13,2.65885197284218
BL-S C-3 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.175,0.738,0.388,2.673,7.099,39.175,0.096,2.518,196,200,296,93,3.46276715468309
BL-S C-4 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.145,0.54,0.333,3.051,6.276,28.027,0.318,3.611,159,164,241,70.93,3.49849241163676
BL-S C-5 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.086,0.575,0.421,2.464,6.404,35.176,0.072,1.958,173,177,261.5,76,2.82502134815948
BL-S C-6 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.112,0.706,0.431,2.613,6.296,32.342,0.08,1.836,148,150,223,68,2.88818324045307
BL-S 1-1 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.149,0.945,0.327,1.491,5.975,83.737,0.091,0.684,124,124,186,58,2.73082406407434
BL-S 1-2 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.186,1.213,0.363,1.587,5.041,59.387,0.071,0.999,164,166,247,103,3.05240628858162
BL-S 1-3 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.202,0.813,0.318,1.289,7.201,54.608,0.102,0.989,185,194,282,107,3.09471057072717
BL-S 1-4 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.168,0.72,0.198,1.264,3.676,33.949,0.057,0.688,190,186,283,144,2.38828898305719
BL-S 1-5 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.161,0.629,0.34,1.627,4.271,46.509,0.367,3.184,178,178,267,102.06,3.58873633092822
BL-S 1-6 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.194,0.623,0.257,1.336,3.84,31.586,0.062,0.884,185,179,274.5,117,2.48166261230879
BL-S 1-1 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.127,0.711,0.237,3.222,3.266,27.839,0.067,0.968,172,167,255.5,71,2.43658542942924
BL-S 1-2 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.151,0.908,0.478,3.857,5.353,50.398,0.084,1.232,141,142,212,52,3.08388381389617
BL-S 1-3 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.111,0.629,0.336,2.923,3.926,34.892,0.055,0.834,116,117,174.5,37,2.21021426285829
BL-S 1-4 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.115,0.617,0.321,3.187,3.653,32.441,0.066,1.046,128,131,193.5,51.8,2.38489924151477
BL-S 1-5 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.133,1.169,0.399,2.508,3.878,34.952,0.089,1.358,159,162,240,77,2.93294430462054
BL-S 1-6 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.103,0.79,0.329,3.18,4.672,48.237,0.103,1.69,163,164,245,80,3.03106357707462
BL-S 1-1,South,-5.051944444,119.328,D2,Sediment,2.301,6.017,0.332,8.693,0.768,3.087,0.106,1.323,571,569,855.5,NA,2.82241508831798
BL-S 2-1,South,-5.053194444,119.3280556,E,Sediment,1.707,4.506,0.299,6.686,1.796,2.727,0.076,1.057,687.5,688,1031.5,NA,2.64052432328087
BL-S 2-2,South,-5.053194444,119.3280556,E,Sediment,1.195,3.905,0.282,8.618,1.612,1.976,0.087,0.97,467.5,476.5,705.8,NA,2.34587175302257
BL-S 2-3,South,-5.053194444,119.3280556,E,Sediment,1.44,4.248,0.236,5.837,1.104,2.143,0.089,1.328,639,644.5,961.25,NA,2.35930957692364
BL-S 2-1 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.031,0.356,0.266,1.767,3.521,66.075,0.146,0.404,105,108,159,28.33,1.7807423998069
BL-S 2-2 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.113,0.622,0.239,1.321,2.459,47.276,0.123,0.262,107,106,160,39,1.86851237800512
BL-S 2-3 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.068,0.388,0.168,1.591,2.773,66.812,0.107,0.27,116,120,176,30.84,1.70274613071099
