ID,Direction,Latitude,Longitude,Station,Material,Ca 422.673,Fe 238.204,Fe 259.941,K 766.491,Mg 285.213,Na 589.592,P 177.495,Al 167.078,Sr 407.771,Sr 421.552,S 182.034
BL-S C-3 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,22388,190,192,2714,9271,9430,NA,112,NA,NA,NA
BL-S C-4 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,23723,258,257,2531,9742,7874,NA,181.24,NA,NA,NA
BL-S C-5 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,21299,179,187,2295,8965,7546,NA,113,NA,NA,NA
BL-S C-6 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,18929,176,185,3589,9164,13320,NA,120,NA,NA,NA
BL-S C-1 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,21837,160,162,3871,9020,16109,NA,61,NA,NA,NA
BL-S C-2 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,24261,150,151,3603,8855,15025,NA,58.13,NA,NA,NA
BL-S C-3 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,27731,196,200,3634,9585,15498,NA,93,NA,NA,NA
BL-S C-4 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,27297,159,164,2902,9058,13476,NA,70.93,NA,NA,NA
BL-S C-5 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,28383,173,177,2754,9328,11481,NA,76,NA,NA,NA
BL-S C-6 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,23943,148,150,2434,8260,10521,NA,68,NA,NA,NA
BL-S 1-1 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,18275,124,124,2149,8309,8078,NA,58,NA,NA,NA
BL-S 1-2 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,21534,164,166,2367,9073,8818,NA,103,NA,NA,NA
BL-S 1-3 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,20016,185,194,3541,9014,11606,NA,107,NA,NA,NA
BL-S 1-4 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,21615,190,186,2603,8943,11350,NA,144,NA,NA,NA
BL-S 1-5 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,22194,178,178,2927,9392,9682,NA,102.06,NA,NA,NA
BL-S 1-6 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,21487,185,179,3346,9471,14870,NA,117,NA,NA,NA
BL-S 1-1 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,22894,172,167,3310,10030,19187,NA,71,NA,NA,NA
BL-S 1-2 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,21922,141,142,2697,9101,12599,NA,52,NA,NA,NA
BL-S 1-3 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,22293,116,117,3136,9183,15825,NA,37,NA,NA,NA
BL-S 1-4 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,22944,128,131,2829,9099,13113,NA,51.8,NA,NA,NA
BL-S 1-5 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,21437,159,162,4084,8474,14924,NA,77,NA,NA,NA
BL-S 1-6 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,27241,163,164,2465,9354,9539,NA,80,NA,NA,NA
BL-S 1-1,South,-5.051944444,119.328,D2,Sediment,374405,571,569,NA,12019,7093,NA,NA,5665,5613,2268
BL-S 1-2,South,-5.051944444,119.328,D2,Sediment,370876.5,669,670.5,NA,12133.5,7863.5,NA,NA,5535.5,5470.5,2379.5
BL-S 1-3,South,-5.051944444,119.328,D2,Sediment,383311.5,662,661.5,NA,13273.5,7594.5,NA,NA,5725,5698,2492
BL-S 2-1,South,-5.053194444,119.3280556,E,Sediment,394813,687.5,688,NA,12004,7987,NA,NA,5932,5904,2468.5
BL-S 2-2,South,-5.053194444,119.3280556,E,Sediment,376981,467.5,476.5,NA,10903.5,6952.5,NA,NA,6091.5,5858.5,2250
BL-S 2-3,South,-5.053194444,119.3280556,E,Sediment,394603,639,644.5,NA,12578.5,8151,NA,NA,6082.5,6074.5,2600.5
BL-S 2-1 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,22221,105,108,1649,9439,6713,22273,28.33,NA,NA,NA
BL-S 2-2 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,23099,107,106,1694,10114,9263,NA,39,NA,NA,NA
BL-S 2-3 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,19048,116,120,2350,9566,9801,21084,30.84,NA,NA,NA
