ID,Direction,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208
BL-S B-2 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.185,1,0.507,1.524,10.37,72.023,0.073,4.634
BL-S B-3 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.187,0.734,0.571,2.029,8.417,63.502,0.111,3.641
BL-S B-4 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.259,0.996,0.524,1.101,12.377,65.206,0.1,4.326
BL-S B-5 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.229,1.059,0.585,2.029,10.325,67.988,0.087,5.587
BL-S B-6 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.288,4.806,0.878,3.294,12.663,78.821,0.564,9.505
BL-S B-1 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.169,0.857,0.553,3.992,10.796,49.437,0.37,6.277
BL-S B-2 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.208,0.846,0.607,3.368,12.943,50.593,0.077,3.658
BL-S B-3 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.169,0.718,0.515,3.077,9.832,40.101,0.324,5.012
BL-S B-4 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.161,1.016,0.441,3.869,4.738,42.316,0.488,4.102
BL-S B-5 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.162,0.585,0.404,2.936,8.74,43.969,0.281,4.641
BL-S B-6 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,0.049,0.595,0.532,3.202,9.178,45.056,0.055,3.447
BL-S C-1,South,-5.051597222,119.3281944,C,Sediment,3.225,8.026,0.415,9.707,4.316,10.506,0.1,3.131
BL-S C-2,South,-5.051597222,119.3281944,C,Sediment,2.686,7.014,0.347,9.387,4.035,11.65,0.115,4.981
BL-S C-3,South,-5.051597222,119.3281944,C,Sediment,1.893,5.616,0.319,6.479,4.359,10.838,0.098,4.129
BL-S C-1 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.244,1.489,0.599,1.754,7.85,42.083,0.136,1.764
BL-S C-2 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.181,0.72,0.26,1.326,4.101,31.168,0.057,1.462
BL-S C-3 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.18,0.956,0.504,1.435,6.168,57.216,0.097,1.596
BL-S C-4 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.188,0.836,0.445,2.016,6.118,70.556,0.434,4.581
BL-S C-5 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.171,0.883,0.43,1.482,7.29,107.356,0.119,1.628
BL-S C-6 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,0.23,0.679,0.349,1.077,6.937,62.949,0.177,1.429
BL-S C-1 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.149,0.616,0.455,2.761,7.099,38.142,0.053,1.803
BL-S C-2 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.128,0.508,0.377,2.799,6.216,33.213,0.065,1.463
BL-S C-3 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.175,0.738,0.388,2.673,7.099,39.175,0.096,2.518
BL-S C-4 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.145,0.54,0.333,3.051,6.276,28.027,0.318,3.611
BL-S C-5 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.086,0.575,0.421,2.464,6.404,35.176,0.072,1.958
BL-S C-6 TH,South,-5.051597222,119.3281944,C,Thalassia hemprichii,0.112,0.706,0.431,2.613,6.296,32.342,0.08,1.836
BL-S 1-1 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.149,0.945,0.327,1.491,5.975,83.737,0.091,0.684
BL-S 1-2 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.186,1.213,0.363,1.587,5.041,59.387,0.071,0.999
BL-S 1-3 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.202,0.813,0.318,1.289,7.201,54.608,0.102,0.989
BL-S 1-4 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.168,0.72,0.198,1.264,3.676,33.949,0.057,0.688
BL-S 1-5 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.161,0.629,0.34,1.627,4.271,46.509,0.367,3.184
BL-S 1-6 EA,South,-5.051875,119.3278611,D1,Enhalus acoroides,0.194,0.623,0.257,1.336,3.84,31.586,0.062,0.884
BL-S 1-1 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.127,0.711,0.237,3.222,3.266,27.839,0.067,0.968
BL-S 1-2 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.151,0.908,0.478,3.857,5.353,50.398,0.084,1.232
BL-S 1-3 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.111,0.629,0.336,2.923,3.926,34.892,0.055,0.834
BL-S 1-4 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.115,0.617,0.321,3.187,3.653,32.441,0.066,1.046
BL-S 1-5 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.133,1.169,0.399,2.508,3.878,34.952,0.089,1.358
BL-S 1-6 TH,South,-5.051875,119.3278611,D1,Thalassia hemprichii,0.103,0.79,0.329,3.18,4.672,48.237,0.103,1.69
BL-S 1-1,South,-5.051944444,119.328,D2,Sediment,2.301,6.017,0.332,8.693,0.768,3.087,0.106,1.323
BL-S 2-1,South,-5.053194444,119.3280556,E,Sediment,1.707,4.506,0.299,6.686,1.796,2.727,0.076,1.057
BL-S 2-2,South,-5.053194444,119.3280556,E,Sediment,1.195,3.905,0.282,8.618,1.612,1.976,0.087,0.97
BL-S 2-3,South,-5.053194444,119.3280556,E,Sediment,1.44,4.248,0.236,5.837,1.104,2.143,0.089,1.328
BL-S 2-1 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.031,0.356,0.266,1.767,3.521,66.075,0.146,0.404
BL-S 2-2 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.113,0.622,0.239,1.321,2.459,47.276,0.123,0.262
BL-S 2-3 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.068,0.388,0.168,1.591,2.773,66.812,0.107,0.27
BL-S 2-4 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.049,0.639,0.24,1.593,2.509,52.497,0.123,0.312
BL-S 2-5 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.159,0.82,0.144,1.199,2.121,29.186,0.417,2.594
BL-S 2-6 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.071,0.541,0.25,1.733,2.871,31.432,0.13,0.229
BL-S 2-1 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.079,0.473,0.25,2.503,2.386,44.462,0.121,0.331
BL-S 2-2 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.133,0.482,0.177,2.004,1.818,22.058,0.098,0.323
BL-S 2-3 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.01,0.485,0.233,2.548,2.526,34.982,0.117,0.391
BL-S 2-4 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.069,0.51,0.229,2.133,2.36,33.816,0.139,0.271
